0,CombatZoneResize,239,226,404,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
1,SET,Loop,1,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,rnd,sb,4,,,,,,
0,jmpe,18,$sb,1,,,,,
0,jmpe,24,$sb,2,,,,,
,,,,,,,,,
,,,,,,,,,
0,BoneVRepeat,128,304.5,82.5,0,120,8,76,
0,BoneVRepeat,513,226,82.5,2,120,8,76,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
6.2,jmpabs,74,,,,,,,
0,BoneVRepeat,513,304.5,82.5,2,120,8,76,
0,BoneVRepeat,128,226,82.5,0,120,8,76,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
6.2,jmpabs,74,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
0,gasterblaster,1,$³õÊ¼×ø±êx,$³õÊ¼×ø±êy,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$Ang,0.3,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
0,gasterblaster,1,$³õÊ¼×ø±êx,$³õÊ¼×ø±êy,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$Ang,0.3,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
0,gasterblaster,1,$³õÊ¼×ø±êx,$³õÊ¼×ø±êy,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$Ang,0.3,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
0,gasterblaster,1,$³õÊ¼×ø±êx,$³õÊ¼×ø±êy,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$Ang,0.3,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,³õÊ¼×ø±êx,640,,,,,,
0,rnd,³õÊ¼×ø±êy,480,,,,,,
0,rnd,×îÖÕ×ø±êx,640,,,,,,
0,rnd,×îÖÕ×ø±êy,480,,,,,,
0,ANGLE,Ang,$×îÖÕ×ø±êx,$×îÖÕ×ø±êy,$HeartX,$HeartY,,,
